,DOC_Loss(gC/day/m2)_Delineated_Average,DON_Loss(gN/day/m2)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,NH4_Loss(gN/day/m2)_Delineated_Average,Year,NO3_Loss(gN/day/m2)_Delineated_Average,Step,DOC_mg/L,Sfc_Water_Temp_C,CO2
2105,0.0299100745469331,2.889957613660954e-05,0.0818966776132583,3.826602551271208e-06,2003,4.465147412702208e-06,2105,0.0854573558483803,14.3375,0.021364338962095074
2106,0.0262405909597873,2.533677798055578e-05,0.0675566121935844,3.372904757270589e-06,2003,3.8946536733419634e-06,2106,0.07497311702796372,14.9375,0.01874327925699093
2107,0.0227510780096054,2.1954363546683453e-05,0.0557048209011554,2.939663090728573e-06,2003,3.368646275703213e-06,2107,0.06500308002744401,14.5625,0.016250770006861003
2108,0.0197925809770822,1.906726720335428e-05,0.0474268235266208,2.566101329648518e-06,2003,2.8181668767501837e-06,2108,0.05655023136309201,17.037498,0.014137557840773002
2109,0.0173946917057037,1.672098551352974e-05,0.0408136658370494,2.2602903300139587e-06,2003,2.380833620918565e-06,2109,0.04969911915915343,17.337502,0.012424779789788358
2110,0.0155038302764296,1.487734516558703e-05,0.0357080362737178,2.0202805899316445e-06,2003,2.117894155162503e-06,2110,0.044296657932656004,15.8375,0.011074164483164001
2111,0.0140008814632892,1.3409508028416894e-05,0.0316688641905784,1.829102302508545e-06,2003,1.906602960843884e-06,2111,0.04000251846654058,16.0625,0.010000629616635144
2112,0.0127350194379687,1.2169824913144112e-05,0.0282864104956388,1.6669428077875637e-06,2003,1.7226909676537616e-06,2112,0.03638576982276771,16.5125,0.009096442455691928
2113,0.0116808023303747,1.1146662473038305e-05,0.0255544744431972,1.5350120747825713e-06,2003,1.596143988535914e-06,2113,0.033373720943927716,13.887501,0.008343430235981929
2114,0.0108293248340487,1.0320578439859672e-05,0.0233535654842853,1.4302074760053074e-06,2003,1.4905098169037956e-06,2114,0.030940928097282,13.6625,0.0077352320243205
2115,0.0100729325786232,9.579774996382184e-06,0.021375523880124,1.335720412498631e-06,2003,1.3831325986757292e-06,2115,0.02877980736749486,15.612499,0.007194951841873715
2116,0.0101649770513176,9.635522474127356e-06,0.0337528102099895,1.3559059652834549e-06,2003,1.3907329048379324e-06,2116,0.029042791575193145,15.6875,0.007260697893798286
2117,0.0106640430167317,1.0078731975227129e-05,0.0225650649517774,1.4281732774179543e-06,2003,1.4619299690821208e-06,2117,0.030468694333519144,14.7125,0.007617173583379786
2118,0.0102222934365272,9.642895747674627e-06,0.0254462845623493,1.3767230484518225e-06,2003,1.4052588994672988e-06,2118,0.029206552675792002,14.0375,0.007301638168948001
2119,0.0136788291856646,1.2857084584538823e-05,0.1012249737977981,1.870365622380632e-06,2003,1.8898026610258969e-06,2119,0.03908236910189886,9.6875,0.009770592275474716
2120,0.0341226011514663,3.192621807102114e-05,0.2866516411304474,4.7557891775795724e-06,2003,4.687183718488086e-06,2120,0.09749314614704657,9.2375,0.024373286536761643
2121,0.0611637085676193,5.716930536436848e-05,0.1786215305328369,8.610011718701571e-06,2003,8.329265256179497e-06,2121,0.17475345305034087,9.9125,0.04368836326258522
2122,0.0481214746832847,4.505117976805195e-05,0.1247814148664474,6.848676093795802e-06,2003,6.494873559859116e-06,2122,0.1374899276665277,9.8375,0.034372481916631926
2123,0.0374958328902721,3.5136421502102166e-05,0.0945038497447967,5.39207030669786e-06,2003,4.992032245354494e-06,2123,0.10713095111506314,12.012501,0.026782737778765785
2124,0.0306814461946487,2.8764960006810725e-05,0.0757180005311966,4.457292106962996e-06,2003,4.03352350986097e-06,2124,0.08766127484185343,12.012501,0.021915318710463358
2125,0.0260349884629249,2.4427206881227903e-05,0.0628532916307449,3.82366442863713e-06,2003,3.395985913812183e-06,2125,0.07438568132264257,9.6125,0.018596420330660644
